event_description,event_local,event_productor,other_informations_productor,event_name,event_date,payment,link
"<p class=""MsoListParagraphCxSpFirst"" style=""font-weight: normal; margin: 0px 0px 15px 32.2pt; padding: 0px; font-size: 14px; line-height: 1.6em; border: none; background-image: none; background-position: initial; background-size: initial; background-repeat: initial; background-attachment: initial; background-origin: initial; background-clip: initial; box-shadow: none; color: rgb(51, 51, 51); font-family: Arial, Helvetica, Verdana, Tahoma, sans-serif; text-align: justify; text-indent: -18pt;"">1. O PagSeguro UOL, responsável por processar todos os pagamentos do Eventick, oferece o parcelamento nos principais cartões de crédito em até 12 vezes. Para saber a quantidade máxima de parcelas permitidas no seu caso, você deve digitar o número do seu cartão para que o sistema identifique a bandeira e atualize o campo de parcelamento. No momento, os juros serão sempre aplicados sobre o preço total da compra e repassados ao comprador, que poderá ver o total de cada parcela antes de finalizar seu pedido.</p>,<p id=""org-description"" class=""text-center-xs text-left-md"">Contato<br>
Tel.: 11 2661-7067<br>
E-mail: centrodetreinamento.inrad@hc.fm.usp.br</p>,<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>Centro de Treinamento InRad </strong><br> Travessa da Rua Doutor Ovídio Pires de Campos, 75, Portaria 1, Cerqueira César<br>São Paulo, SP                </p>"," Travessa da Rua Doutor Ovídio Pires de Campos, 75, Portaria 1, Cerqueira César",Centro de Treinamento InRad HCFMUSP,"Contato,
Tel.: 11 2661-7067,
E-mail: centrodetreinamento.inrad@hc.fm.usp.br",CURSO ULTRASSONOGRAFIA AVANÇADA SIST.MUSCULO ESQUELETICO (PRÁTICO)   ," 
                                    29 de setembro de 2017, 08h  - 30 de setembro de 2017, 18h                                ","R$ 0,00,Médicos residentes,R$ 1.625,00,Inscrições até 28/09/2017,0,Médicos Radiologistas e outras especiali,R$ 2.320,00,Inscrições até 28/09/2017,0,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/curso-ultrassonografia-avancada-sistmusculo-esqueletico-pratico__111559
"<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">

PÁGINA DO EVENTO: http://migre.me/vSne6</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph""><br></p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">Primeiramente,
um muuuuito obrigado a SKOL que esse ano será a cerveja oficial pra deixar
nossa festa muito mais redonda. </p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph""> </p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">Segundamente,
vem aí o bloquinho mais ryco, mais phyno, mais diferentão, mais coxipster, mais
out of quadrado, mais kabuki máscara<span style=""mso-spacerun:yes"">  </span>e
mais disruptivoso dessas redondezas quadradas chamadas Jardins.</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph""> </p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">Chega
mais pra dar um tapa no pandeiro conosco pelo quarto ano consecutivo no Vem ni
Mim Que eu Tô com Tudo, o bloquinho criado pela Agência Tudo para a cidade.</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph""> </p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">O
Vem ni Mim é um bloco pra quem gosta de carnaval mas não tem mais idade e
paciência pra pegar fila de banco em porta de banheiro ou se espremer no meio
da multidão. Pra quem só gosta de festa redonda.</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph""> </p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">Público
estimado em 1000 pessoas (550 pagantes e 450 pipocas)</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph""> </p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">COMO
FUNCIONA?</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph""> </p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">Pela
primeira vez sairemos em um sábado a tarde.<span style=""mso-spacerun:yes""> 
</span>Então fica de olho na programação. Atrás do trio elétrico só não vai
quem perde a hora.</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph""> </p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">ESQUENTA
REDONDO SKOL - PAGO</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">13h
–Sede da Agência Tudo - Rua Canadá, 301</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">Open
bar Skol | Acesso limitado aos 550 pagantes</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">DJ,
Food trucks , banheiros e espaços de customização de adereços</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">Apenas
para maiores de 18 anos</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">LOTE
PROMOCIONAL*: R$60 Camisa (open bar)</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph""> </p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">DESFILE
– SAINDO DO QUADRADO <span style=""mso-spacerun:yes""> </span>- GRATUITO</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">14h30
– Desfile pelas ruas Canadá, Honduras,<span style=""mso-spacerun:yes""> 
</span>Argentina, Oscar Freire, Casa Branca e Canadá.</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph""> </p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">A
banda tocará muita marchinha, axé das antigas, brega e o que vier (tenha medo!)</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph""> </p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">AFTER
SKOL BEATS SENSES - PAGO</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">16h00
– Fexxtinha novamente no quintal da Tudo com DJ, open bar Skol</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">Quem
tem a camisa do Esquenta, é só entrar (desde que maior de 18)</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph""> </p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">ENCERRAMENTO</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">19h</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph""> </p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">#vemnimim
#carnavalredondo #veraoredondo #saidoquadrado #agenciatudo</p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph""> </p>,<p class=""MsoNormal"" style=""text-align:justify;text-justify:inter-ideograph"">SE
BEBER, VÁ DE TÁXI | BEBA COM MODERAÇÃO</p>,<p id=""org-description"">https://www.facebook.com/cleberparadela</p>,<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>Agência Tudo</strong><br> Rua Canadá, 301, Jardim América<br>São Paulo, SP                </p>"," Rua Canadá, 301, Jardim América",Cleber Paradela,,Bloquinho Vem Ni Mim que eu tô com Tudo  ," 
                                    11 de fevereiro de 2017, 13h-19h                                ","R$ 0,00,Camisa - Open Bar Skol ,R$ 70,00,Vendas até 11/02/2017,0,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/bloquinho-vem-ni-mim-que-eu-to-com-tudo__111933
"<p style='font-family: ""Helvetica Neue"", Helvetica, Arial, sans-serif; font-size: 13px; line-height: 1.6em;'>Neste curso você aprenderá a incorporar mindfulness em sua vida através de vários práticas formais e informais, semana a semana, e logo poderá sentir os benefícios no seu dia-a-dia. </p>,<p style='font-family: ""Helvetica Neue"", Helvetica, Arial, sans-serif; font-size: 13px; line-height: 1.6em;'>Os participantes relatam redução de stress, melhor qualidade de sono e bem-estar, maior produtividade, redução de dores crônicas entre outros.</p>,<p style='font-family: ""Helvetica Neue"", Helvetica, Arial, sans-serif; font-size: 13px; line-height: 1.6em;'>O espaço foi especialmente preparado para oferecer um ambiente acolhedor e seguro para todos os participantes.</p>,<p style='font-family: ""Helvetica Neue"", Helvetica, Arial, sans-serif; font-size: 13px; line-height: 1.6em;'>O valor inclui as aulas e os áudios das meditações guiadas para as 8 semanas.</p>,<p style='font-family: ""Helvetica Neue"", Helvetica, Arial, sans-serif; font-size: 13px; line-height: 1.6em;'>São 9 encontros ao longo de 8 semanas:</p>,<p style='font-family: ""Helvetica Neue"", Helvetica, Arial, sans-serif; font-size: 13px; line-height: 1.6em;'>Terças-Feiras: 7,  14 e 21 Fevereiro (não tem aula na semana do Carnaval); 7, 14, 21 e 28 de Março; 4 de abril + Mini Retiro Urbano dia 1o de Abril</p>,<p id=""org-description"">Marina tem um uma larga experiência como executiva em multinacionais de tecnologia. É fundadora do Instituto Latino Americano de Mindfulness e Bem Estar, que tem por missão ajudar as pessoas a terem uma vida melhor e mais saudável. É instrutora formada pela MTi, Mindfulness Trainings International e investe continuamente em sua formação. Participou de treinamentos de Mindful Leadership com Janice Marturano (Institute for Mindful Leadership) e Fleet Maul. Na Monash University estudou Mindfulness for Wellbeing and Peak Performance. Também fez a formação em Mindfulness Based Relapse Prevention (MBRP) com Sarah Bowen e MBRP-Brasil. Na área de terapias complementares e integrativas tem formação em terapia quântica e atua com radiestesia genética e florais Joel Aleixo.</p>,<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>Instituto Latino Americano de Mindfulness</strong><br> Rua Doutor Luiz Migliano , 1986, Sala 2501, Jardim Caboré<br>São Paulo, SP                </p>"," Rua Doutor Luiz Migliano , 1986, Sala 2501, Jardim Caboré",MARINA NEUMANN,,Mindfulness  Programa de 8 Semanas  Fevereiro Noturno  ," 
                                    07 de fevereiro de 2017, 19h30  - 14 de fevereiro de 2017, 21h30                                ","R$ 0,00,Inscrição,R$ 890,00,Vendas até 14/02/2017,0,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/mindfulness---programa-de-8-semanas---fevereiro-noturno__107530
"<p id=""org-description"" class=""text-center-xs text-left-md"">Elisa Dantas (30) é professora e criadora especializada em costura, fundadora d'A Costureirinha. Ministra cursos e oficinas em São Paulo, no Sesc Pompeia, Atelier Co.Sturando e diversos lugares especializados na cidade. Em seu canal no YouTube, produz vídeo-tutoriais de costura. Difunde a costura em uma linguagem atual e urbana, estimulando o empoderamento e a redescoberta do fazer manual.</p>,<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>Atelier Co.Sturando</strong><br> Avenida Doutor Arnaldo , 1620, Segundo andar, Sumaré<br>São Paulo, SP                </p>"," Avenida Doutor Arnaldo , 1620, Segundo andar, Sumaré",A Costureirinha,"Elisa Dantas (30) é professora e criadora especializada em costura, fundadora d'A Costureirinha. Ministra cursos e oficinas em São Paulo, no Sesc Pompeia, Atelier Co.Sturando e diversos lugares especializados na cidade. Em seu canal no YouTube, produz vídeo-tutoriais de costura. Difunde a costura em uma linguagem atual e urbana, estimulando o empoderamento e a redescoberta do fazer manual.",Curso de Costura Superintensivo para iniciantes ● Janeiro 21 e 22  ," 
                                    21 de janeiro de 2017, 09h  - 22 de janeiro de 2017, 16h                                ","R$ 0,00,Inscrição,R$ 650,00,Inscrições até 21/01/2017,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/curso-de-costura-superintensivo-para-iniciantes--janeiro-21-e-22__100895
"<p id=""org-description"" class=""text-center-xs text-left-md"">Contato<br>
Tel.: 11 2661-7067<br>
E-mail: centrodetreinamento.inrad@hc.fm.usp.br</p>,<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>Centro de Treinamento InRad </strong><br> Travessa da Rua Doutor Ovídio Pires de Campos, 75, Portaria 1, Cerqueira César<br>São Paulo, SP                </p>"," Travessa da Rua Doutor Ovídio Pires de Campos, 75, Portaria 1, Cerqueira César",Centro de Treinamento InRad HCFMUSP,"Contato,
Tel.: 11 2661-7067,
E-mail: centrodetreinamento.inrad@hc.fm.usp.br",HANDS ON DE RADIOLOGIA ONCOLÓGICA DO ICESP   ," 
                                    16 de novembro de 2017, 08h  - 18 de novembro de 2017, 18h                                ","R$ 0,00,Médicos residentes,R$ 1.625,00,Inscrições até 13/11/2017,0,Médicos Radiologistas e outras especiali,R$ 2.320,00,Inscrições até 13/11/2017,0,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/hands-on-de-radiologia-oncologica-do-icesp__111566
"<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>Inglês S/A</strong><br> Rua Rui Martins, 446, Alto da Mooca<br>São Paulo, SP                </p>"," Rua Rui Martins, 446, Alto da Mooca",Roberta Gomez,,CoStuying  Praticar Exercícios e Conversação  ," 
                                    07 de janeiro de 2017, 13h30  - 02 de dezembro de 2017, 15h30                                ","R$ 0,00,Inscrição p/ Alunos-Não Alunos R$50,00,Vendas até 06/01/2017,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/co-stuying---praticar-exercicios-e-conversacao__100650
"<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>Inglês S/A</strong><br> Rua Rui Martins, 446, Alto da Mooca<br>São Paulo, SP                </p>"," Rua Rui Martins, 446, Alto da Mooca",Roberta Gomez,,Workshop  Coffee & Conversation   ," 
                                    28 de janeiro de 2017, 08h30-10h30                                ","R$ 0,00,Inscrição,R$ 25,00,Vendas até 26/01/2017,0,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/workshop---coffee--conversation__100646
"<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>Inglês S/A</strong><br> Rua Rui Martins, 446, Alto da Mooca<br>São Paulo, SP                </p>"," Rua Rui Martins, 446, Alto da Mooca",Roberta Gomez,,"Workshop  Recepcionando ""THE CLIENT""  Porque a primeira impressão é sempre a que fica  "," 
                                    27 de maio de 2017, 08h30-12h                                ","R$ 0,00,Inscrição,R$ 125,00,Inscrições até 25/05/2017,0,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/workshop---recepcionando-the-client---porque-a-primeira-impressao-e-sempre-a-que-fica__100645
"<p id=""org-description"" class=""text-center-xs text-left-md"">Estou a 8 anos na área, meu objetivo sempre foi ""criar"", não apenas novos produtos mas também uma maneira nova de passar   conteúdo!Fazendo com que o aluno seja independente e consiga criar e administrar sua cozinha com segurança!<br>
Auto ditada,mãe, feliz e com a grande paixão colocada em prática que é ensinar!Ensinar com afeto<br>
Por mais dias doces te convido a participar do meu mundo.Acompanhe mensalmente minhas receitas no Programa Vida Melhor com Claudia Tenório! Sempre com dicas e novidades! <br>
Beijos Uiara Laforé</p>,<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>Loja Bondinho</strong><br> Avenida Pompeia, 1795, Vila Pompeia<br>São Paulo, SP                </p>"," Avenida Pompeia, 1795, Vila Pompeia",Uiara Laforé,"Estou a 8 anos na área, meu objetivo sempre foi ""criar"", não apenas novos produtos mas também uma maneira nova de passar   conteúdo!Fazendo com que o aluno seja independente e consiga criar e administrar sua cozinha com segurança!,
Auto ditada,mãe, feliz e com a grande paixão colocada em prática que é ensinar!Ensinar com afeto,
Por mais dias doces te convido a participar do meu mundo.Acompanhe mensalmente minhas receitas no Programa Vida Melhor com Claudia Tenório! Sempre com dicas e novidades! ,
Beijos Uiara Laforé",Bolacharia Gourmet  ," 
                                    04 de fevereiro de 2017, 09h30-12h                                ","R$ 0,00,Unico,R$ 120,00,Inscrições até 04/02/2017,0,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/bolacharia-gourmet__104947
"<p style=""margin: 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);""><br></p>,<p style=""margin: 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);""><br></p>,<p style=""margin: 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);"">Oiee,</p>,<p style=""margin: 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);"">Sou Uiara Laforé Chef Confeiteira e criei um método muito prático para a produção destes docinhos tão amados!</p>,<p style=""margin: 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);""><br></p>,<p style=""margin: 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);"">Pensando em uma maneira de unir o melhor em um  curso 100% pratico e de 2 módulos.para formação de professores de brigaderia.
Chega o curso</p>,<p style=""margin: 10px 0px 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);"">""Brigadeiros a Experiência"" modulo 1</p>,<p style=""margin: 10px 0px 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);"">Iniciando nossa aula teremos uma palestra voltada para ""como obter lucro imediato"", utilizando este sistema você vai conseguir começar de uma maneira segura, profissional e lucrativa!
 
O objetivo é realmente vivenciar a experiência de criar receitas! 

Aprendendo as técnicas você terá a facilidade de criar SUA própria carta de brigadeiros! </p>,<p style=""margin: 10px 0px 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);"">Ou seja não vai depender mais de curso nenhum!</p>,<p style=""margin: 10px 0px 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);"">Conteúdo</p>,<p style=""margin: 10px 0px 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);"">Pontos corretos para cobrir,rechear e bolear
Como utilizar especiarias,flores, frutas e pastas!
Como utilizar blends de chás
Criar porcentagens unicas de chocolate
Temperagem
Brigadeiros trufados
Como vender
Como ter um salario fixo mensal com a venda de brigadeiros</p>,<p style=""margin: 10px 0px 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);""><br></p>,<p style=""margin: 10px 0px 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);"">Extra</p>,<p style=""margin: 10px 0px 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);"">- como congelar com segurança</p>,<p style=""margin: 10px 0px 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);"">- como trabalhar com brigadeiro no tacho( bar de brigadeiros)</p>,<p style=""margin: 10px 0px 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);"">Sabores apresentados no modulo 1</p>,<p style=""margin: 10px 0px 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);"">Brulee Especial 
Poeira de Cacau trufado e um toque de aceto balsâmico
Donuts de Baunilha com geleia de rosas
Zabaione com farofinha de frangipane e ampola de vinho do porto
Brigadeiro Bolo de Rolo
Brigadeiro de rosas selvagens e groselha negra com ampola de xarope floral
Brigadeiro de champanhe com crocante de massa folhada </p>,<p style=""margin: 10px 0px 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);"">Apostila Completa e Certificado!</p>,<p style=""margin: 10px 0px 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);"">Apoio por Whats</p>,<p style=""margin: 10px 0px 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);"">Qualquer duvida entre em contato pelo email uiaralafore@yahoo.com.br ou</p>,<p style=""margin: 10px 0px 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);""> whats 11 96180.6332</p>,<p style=""margin: 10px 0px 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);""><br></p>,<p style=""margin: 10px 0px 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);"">Atencão: Em caso do não comparecimento do aluno o valor não será devolvido.</p>,<p style=""margin: 10px 0px 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);"">Caso a aula seja cancelada por motivos de força maior pelo professor o valor será integralmente devolvido ao aluno!</p>,<p style=""margin: 10px 0px 0px; white-space: pre-wrap; color: rgb(29, 33, 41); font-family: Helvetica, Arial, sans-serif; font-size: 13px; background-color: rgb(255, 255, 255);""><br></p>,<p id=""org-description"" class=""text-center-xs text-left-md"">Estou a 8 anos na área, meu objetivo sempre foi ""criar"", não apenas novos produtos mas também uma maneira nova de passar   conteúdo!Fazendo com que o aluno seja independente e consiga criar e administrar sua cozinha com segurança!<br>
Auto ditada,mãe, feliz e com a grande paixão colocada em prática que é ensinar!Ensinar com afeto<br>
Por mais dias doces te convido a participar do meu mundo.Acompanhe mensalmente minhas receitas no Programa Vida Melhor com Claudia Tenório! Sempre com dicas e novidades! <br>
Beijos Uiara Laforé</p>,<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>Atelie Cynthia Kobori</strong><br> Rua Honduras, 552, Jardins<br>São Paulo, SP                </p>"," Rua Honduras, 552, Jardins",Uiara Laforé,"Estou a 8 anos na área, meu objetivo sempre foi ""criar"", não apenas novos produtos mas também uma maneira nova de passar   conteúdo!Fazendo com que o aluno seja independente e consiga criar e administrar sua cozinha com segurança!,
Auto ditada,mãe, feliz e com a grande paixão colocada em prática que é ensinar!Ensinar com afeto,
Por mais dias doces te convido a participar do meu mundo.Acompanhe mensalmente minhas receitas no Programa Vida Melhor com Claudia Tenório! Sempre com dicas e novidades! ,
Beijos Uiara Laforé",Brigadeiro a Experiência modulo 1  ," 
                                    11 de fevereiro de 2017, 09h-13h                                ","R$ 0,00,Unico,R$ 380,00,Inscrições até 11/02/2017,0,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/brigadeiro-a-experiencia-modulo-1__104875
"<p style=""font-style: normal; font-weight: normal; font-family: Arial, Verdana; font-size: 10pt; font-variant: normal; line-height: normal; text-align: left;"" align=""left""><b style=""color: rgb(51, 0, 51); font-size: 10pt;""><font size=""5""><br>Você sabe o que tem, de verdade, impedido você de conquistar seus objetivos e sonhos?</font></b></p>,<p id=""org-description"" class=""text-center-xs text-left-md"">www.cafecomcoaching.com</p>,<p class=""margin-bottom-20-xs margin-bottom-40-sm"">
                    
                <strong>ESPAÇO CAFÉ COM COACHING</strong><br> Rua Batataes, 602, Jardins<br>São Paulo, SP                </p>"," Rua Batataes, 602, Jardins",Café com Coaching,www.cafecomcoaching.com,CURSO INTENSIVO: AutoCoaching e AutoHipnose  ," 
                                    14 de janeiro de 2017, 08h30  - 15 de janeiro de 2017, 20h                                ","R$ 0,00,ANTECIPADA ,R$ 890,00,Inscrições até 06/01/2017,★ ESPECIAL GRUPO ANTECIPADA ★ ,R$ 790,00,Inscrições até 06/01/2017,REGULAR ,R$ 1.130,00,Inscrições até 13/01/2017,★ ESPECIAL GRUPO REGULAR ★ ,R$ 890,00,Inscrições até 12/01/2017,Autorizo que a Sympla entre em contato para pedir mais informações",https://www.sympla.com.br/curso-intensivo-autocoaching-e-auto-hipnose__104825
